price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,amenities,locality
₹ 1.9 Crores,"1,714",3 Bedroom,3 Bathroom,2.0,Kolte Patil Itowers...,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,North,17/22,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 55 Lacs,"1,120",2 Bedroom,2 Bathroom,2.0,Paramount Raghavend...,>10 years,Self Owned,>10 years,,Semi,North,0/3,Bike and Car,No,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 92 Lacs,"1,356",2 Bedroom,2 Bathroom,3.0,Vrr Nest,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,East,1/9,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 1.17 Crores,"1,657",3 Bedroom,3 Bathroom,3.0,Keerthi Royal Palms,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Fully furnished,West,9/12,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 57 Lacs,"1,010",2 Bedroom,2 Bathroom,1.0,Reliable Domicile,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North,2/3,Car,Yes,"['Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Visitor parking']",Konappana Agrahara
₹ 87 Lacs,"1,285",2 Bedroom,2 Bathroom,2.0,Sjr Fiesta Homes,Newly Constructed,Self Owned,Newly Constructed,,Semi,East,7/8,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 1 Crore,"1,330",2 Bedroom,2 Bathroom,2.0,"Vrr Nest, Electroni...",3-5 years,Self Owned,3-5 years,,Semi,West,2/9,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 75 Lacs,"1,175",2 Bedroom,2 Bathroom,2.0,Vrr Nest,3-5 years,Self Owned,3-5 years,Mosaic,Semi,North-West,0/9,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 80 Lacs,"1,211",2 Bedroom,2 Bathroom,2.0,"Sjr Fiesta Homes, E...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,0/7,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Konappana Agrahara
₹ 55 Lacs,"1,050",2 Bedroom,2 Bathroom,2.0,Paramount Raghavend...,>10 years,Self Owned,>10 years,Marble/Granite,Semi,North,0/3,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Konappana Agrahara
₹ 1.49 Crores,"1,293",2 Bedroom,2 Bathroom,1.0,Kolte Patil Itowers...,Newly Constructed,Self Owned,Newly Constructed,Wooden,Semi,East,17/21,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park']",Konappana Agrahara
₹ 1.07 Crores,"1,550",3 Bedroom,3 Bathroom,2.0,"Sjr Fiesta Homes, E...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Unfurnished,North,1/7,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 1 Crore,"1,250",2 Bedroom,2 Bathroom,2.0,Keerthi Royal Palms...,5-10 years,Self Owned,5-10 years,,Semi,North,2/12,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 2.3 Crores,"1,800",4 Bedroom,6 Bathroom,,Standalone Building,3-5 years,Self Owned,3-5 years,,Fully furnished,East,0/5,Bike and Car,No,['Lift'],Konappana Agrahara
₹ 77 Lacs,"1,276",2 Bedroom,2 Bathroom,2.0,Sjr Fiesta Homes,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,West,6/8,Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Konappana Agrahara
₹ 95 Lacs,"1,345",2 Bedroom,2 Bathroom,2.0,Vbc Oracle Ridge,5-10 years,Self Owned,5-10 years,,Semi,East,3/5,Car,No,,Konappana Agrahara
₹ 1.2 Crores,"1,500",3 Bedroom,3 Bathroom,3.0,Keerthi Royal Palms,3-5 years,Self Owned,3-5 years,,Semi,West,6/14,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 1.25 Crores,"1,465",3 Bedroom,3 Bathroom,3.0,Keerthi Royal Palms,1-3 years,Self Owned,1-3 years,Marble/Granite,Semi,West,5/12,Car,Yes,"['Intercom', 'Lift', 'Club house', 'Fire safety', 'Sewage treatment plant', 'Park', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Konappana Agrahara
₹ 75 Lacs,"1,552",3 Bedroom,3 Bathroom,3.0,Paramount Raghavend...,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,West,2/3,Bike and Car,No,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Park', 'Visitor parking']",Konappana Agrahara
₹ 1.9 Crores,"1,714",3 Bedroom,3 Bathroom,2.0,Kolte Patil Itowers...,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,North,17/22,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 92 Lacs,"1,356",2 Bedroom,2 Bathroom,3.0,Vrr Nest,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,East,1/9,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 57 Lacs,"1,010",2 Bedroom,2 Bathroom,1.0,Reliable Domicile,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North,2/3,Car,Yes,"['Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Visitor parking']",Konappana Agrahara
₹ 1 Crore,"1,330",2 Bedroom,2 Bathroom,2.0,"Vrr Nest, Electroni...",3-5 years,Self Owned,3-5 years,,Semi,West,2/9,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 55 Lacs,"1,050",2 Bedroom,2 Bathroom,2.0,Paramount Raghavend...,>10 years,Self Owned,>10 years,Marble/Granite,Semi,North,0/3,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Konappana Agrahara
₹ 1.07 Crores,"1,550",3 Bedroom,3 Bathroom,2.0,"Sjr Fiesta Homes, E...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Unfurnished,North,1/7,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Konappana Agrahara
₹ 77 Lacs,"1,276",2 Bedroom,2 Bathroom,2.0,Sjr Fiesta Homes,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,West,6/8,Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Konappana Agrahara
₹ 11.91 Crores,"6,189",4 Bedroom,4 Bathroom,3.0,Raheja Vivarea,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,0/10,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Park', 'Visitor parking']",Koramangala
₹ 70 Lacs,"1,070",2 Bedroom,2 Bathroom,2.0,Bildens Swarganga,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North,3/4,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Park']",Koramangala
₹ 4.65 Crores,"2,700",3 Bedroom,4 Bathroom,2.0,Sipani Phoenix Gran...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,2/6,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Koramangala
₹ 2.15 Crores,"4,000",4 Bedroom,9 Bathroom,,Sujatha Apartment,5-10 years,Self Owned,5-10 years,,Unfurnished,East,0/5,Bike and Car,No,,Koramangala
₹ 1.8 Crores,"1,400",2 Bedroom,2 Bathroom,2.0,Floriana Estates,5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,East,3/8,Bike and Car,Yes,"['Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Visitor parking']",Koramangala
₹ 3.8 Crores,"2,400",3 Bedroom,3 Bathroom,3.0,Sipani Grande,5-10 years,Self Owned,5-10 years,,Fully furnished,North,5/8,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Security', 'Gas pipeline']",Koramangala
₹ 85 Lacs,"1,425",2 Bedroom,2 Bathroom,2.0,"Vandana Grand, Kora...",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,1/4,Car,Yes,"['Lift', 'Gym', 'Internet provider', ""Children's play area"", 'Security']",Koramangala
₹ 2.75 Crores,"1,900",3 Bedroom,3 Bathroom,2.0,Encore Primitus,5-10 years,Self Owned,5-10 years,,Fully furnished,North,1/4,Bike and Car,Yes,"['Gym', 'Security']",Koramangala
₹ 95 Lacs,"1,175",2 Bedroom,2 Bathroom,1.0,Tranquility Apartme...,>10 years,Self Owned,>10 years,Marble/Granite,Semi,North-East,1/5,Bike and Car,Yes,['Security'],Koramangala
₹ 1.77 Crores,"1,360",3 Bedroom,2 Bathroom,1.0,Kristal Sunstone,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,1/3,Car,Yes,"['Lift', 'Internet provider', 'Intercom', ""Children's play area"", 'Fire safety', 'Security']",Koramangala
₹ 1.7 Crores,"1,850",3 Bedroom,2 Bathroom,2.0,Malaprabha Block,>10 years,Self Owned,>10 years,,Semi,North,2/7,Car,No,"['Lift', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Park']",Koramangala
₹ 1.05 Crores,"1,475",3 Bedroom,2 Bathroom,3.0,"Tranquility, S T Be...",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/5,Car,Yes,"['Intercom', 'Internet provider', 'Lift', ""Children's play area"", 'Security', 'Visitor parking']",Koramangala
₹ 70 Lacs,800,2 Bedroom,1 Bathroom,,Koramangala,Newly Constructed,Self Owned,Newly Constructed,Marble/Granite,Unfurnished,East,1/3,Bike and Car,Yes,['Security'],Koramangala
₹ 5.5 Crores,"2,200",3 Bedroom,2 Bathroom,,Karan Monaco Reside...,5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,East,0/4,Car,Yes,['Security'],Koramangala
₹ 4.35 Crores,"2,906",4 Bedroom,4 Bathroom,3.0,Pacifica Hamilton T...,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,4/12,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Visitor parking']",Koramangala
₹ 3.61 Crores,"2,469",3 Bedroom,3 Bathroom,2.0,Pacifica Hamilton T...,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,3/12,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Visitor parking']",Koramangala
₹ 1.3 Crores,"1,378",2 Bedroom,2 Bathroom,3.0,Gem Regency,>10 years,Self Owned,>10 years,Marble/Granite,Fully furnished,North-West,1/4,Car,Yes,"['Lift', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Koramangala
₹ 2.92 Crores,"1,746",3 Bedroom,3 Bathroom,3.0,Shriram Esquire,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,North-East,4/8,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Park', 'Sewage treatment plant']",Koramangala
₹ 2.6 Crores,"1,920",3 Bedroom,3 Bathroom,2.0,Sabari Castellina A...,Under Construction,Self Owned,Under Construction,Marble/Granite,Unfurnished,South,1/4,Bike and Car,Yes,"['Gym', 'Security']",Koramangala
₹ 1.3 Crores,"1,322",2 Bedroom,2 Bathroom,3.0,Dhanushree Apartmen...,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,West,3/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', ""Children's play area"", 'Security', 'Park', 'Visitor parking']",Koramangala
₹ 90 Lacs,"1,269",2 Bedroom,2 Bathroom,3.0,Vandana Jasmine,5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,North,2/5,Bike and Car,Yes,"['Lift', 'Intercom', ""Children's play area"", 'Security', 'Gas pipeline']",Koramangala
₹ 1.6 Crores,"1,580",3 Bedroom,2 Bathroom,3.0,Wild Grass,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,West,1/5,Bike and Car,Yes,"['Lift', 'Internet provider', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Sewage treatment plant']",Koramangala
₹ 1.3 Crores,"1,546",3 Bedroom,3 Bathroom,3.0,Vandana Jasmine Apa...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,5/5,Car,No,"['Lift', 'Gym', 'Club house', 'Intercom', ""Children's play area"", 'Park']",Koramangala
₹ 1.25 Crores,"1,475",3 Bedroom,2 Bathroom,3.0,Tranquility,>10 years,Self Owned,>10 years,Marble/Granite,Semi,South-East,2/5,Car,No,"['Lift', 'Internet provider', 'Intercom', ""Children's play area"", 'Fire safety', 'Park', 'Sewage treatment plant']",Koramangala
₹ 1.2 Crores,"1,510",3 Bedroom,3 Bathroom,2.0,"Vandana Grand, Kora...",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,West,1/4,Bike and Car,Yes,"['Lift', 'Club house', ""Children's play area"", 'Security', 'Shopping center', 'Park', 'Visitor parking']",Koramangala
₹ 1.75 Crores,"2,100",3 Bedroom,2 Bathroom,4.0,Kamadhenu Apartments,>10 years,Self Owned,>10 years,Marble/Granite,Fully furnished,East,1/3,Bike and Car,Yes,"['Lift', 'Gym', ""Children's play area"", 'Fire safety', 'Security']",Lalbagh
₹ 1.2 Crores,"1,300",2 Bedroom,2 Bathroom,2.0,Janyanagar,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Semi,North,2/7,Car,Yes,"['Gym', 'Club house', ""Children's play area"", 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Lalbagh
₹ 1.5 Crores,"1,525",3 Bedroom,2 Bathroom,2.0,Kamadhenu Apartment,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,1/3,Car,Yes,"['Lift', 'Internet provider', 'Security']",Lalbagh
₹ 90 Lacs,770,2 Bedroom,2 Bathroom,1.0,Raziq Residency,1-3 years,Self Owned,1-3 years,,Semi,North,0/5,Bike,No,['Gas pipeline'],Lalbagh
₹ 2.75 Crores,"2,528",4 Bedroom,4 Bathroom,5.0,Ritual Park Apartme...,>10 years,Self Owned,>10 years,Marble/Granite,Unfurnished,North,3/4,Bike and Car,Yes,"['Lift', 'Security', 'Sewage treatment plant', 'Visitor parking']",Lalbagh
₹ 50 Lacs,690,2 Bedroom,1 Bathroom,,Karnataka Housing B...,>10 years,Self Owned,>10 years,,Semi,North-East,0/0,Bike and Car,Yes,"['Internet provider', 'Intercom', 'Security', 'Shopping center', 'Park']",Lalbagh
₹ 2.1 Crores,"2,155",3 Bedroom,3 Bathroom,,Rajarajeshwari Para...,1-3 years,Self Owned,1-3 years,,Unfurnished,West,0/4,Bike and Car,Yes,"['Lift', 'Gym', 'Swimming pool', ""Children's play area"", 'Security', 'Visitor parking']",Lalbagh
₹ 3.4 Crores,"2,485",3 Bedroom,3 Bathroom,2.0,Rajarajeshwari Para...,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Fully furnished,Don't Know,7/15,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Lalbagh
₹ 1.35 Crores,"1,220",2 Bedroom,3 Bathroom,,Lakshmidwarakamai ...,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,East,2/3,Bike and Car,Yes,"['Gym', 'Security']",Lalbagh
₹ 1.3 Crores,"1,220",3 Bedroom,3 Bathroom,,Lakshmidwarakamai ...,Under Construction,Self Owned,Under Construction,,Unfurnished,East,1/3,Bike and Car,Yes,"['Lift', 'Gym', 'Security']",Lalbagh
₹ 2 Crores,"1,850",3 Bedroom,3 Bathroom,1.0,Kumar Paradise Apar...,>10 years,Self Owned,>10 years,Marble/Granite,Semi,South-East,2/4,Bike and Car,No,"['Lift', 'Fire safety', 'Visitor parking']",Lalbagh
₹ 2.5 Crores,"1,800",4 Bedroom,4 Bathroom,,Brigade Park View,>10 years,Self Owned,>10 years,Marble/Granite,Fully furnished,West,0/3,Bike and Car,No,"['Lift', 'Internet provider', 'Intercom', ""Children's play area"", 'Fire safety']",Lalbagh
₹ 1.25 Crores,"1,150",2 Bedroom,2 Bathroom,1.0,Santoj Cottage,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/3,Bike and Car,Yes,['Security'],Lalbagh
₹ 3.25 Crores,"2,450",3 Bedroom,3 Bathroom,2.0,Sharada Bhrundavana,3-5 years,Self Owned,3-5 years,Marble/Granite,Semi,North,2/4,Bike and Car,Yes,"['Internet provider', 'Security']",Lalbagh
₹ 3.68 Crores,"2,300",3 Bedroom,3 Bathroom,,Nithin Elite,3-5 years,Self Owned,3-5 years,,Unfurnished,East,2/4,Bike and Car,No,,Lalbagh
₹ 1.5 Crores,"1,000",2 Bedroom,2 Bathroom,1.0,Veeranna Prestige,>10 years,Self Owned,>10 years,Marble/Granite,Semi,East,3/3,Bike and Car,Yes,"['Lift', 'Security']",Lalbagh
₹ 2.8 Crores,"2,178",2 Bedroom,2 Bathroom,1.0,Bombay House,>10 years,Self Owned,>10 years,,Semi,2/4,2/4,Bike and Car,Yes,"['Lift', 'Security']",Lalbagh
₹ 1.25 Crores,400,1 Bedroom,1 Bathroom,1.0,Standalone Building,5-10 years,Self Owned,5-10 years,,Unfurnished,East,2/2,No,No,['Park'],Lalbagh
₹ 59 Lacs,850,2 Bedroom,2 Bathroom,1.0,Manyatha Apartments,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/2,Bike and Car,Yes,['Security'],Lalbagh
₹ 68 Lacs,800,2 Bedroom,2 Bathroom,1.0,Manyatha Apartments,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/3,Bike and Car,No,,Lalbagh
₹ 1.7 Crores,"1,500",2 Bedroom,2 Bathroom,4.0,Asgar Residency,>10 years,Self Owned,>10 years,Marble/Granite,Fully furnished,West,1/3,Bike and Car,Yes,"['Lift', 'Security']",Lalbagh
